Caltech Behavior Annotator - Annotation File

Configuration file:
other	o
attack	a
approach	b
chasing	c
dig	d
escape	e
general-sniffing	f
sniff_female	p
sniff_face	w
selfgrooming	g
socialgrooming	h
defend	i
exploreobj	j
climb	k
follow	l
mount	m
biteobj	n
flinch	r
stand	s
punch	t
threaten	u
follow_female	v
human_interfere	x
tussling	y

S1:	start	end	type
   	21233	21459	other
   	21460	21465	sniff_female
   	21466	22405	other
   	22406	22430	approach
   	22431	22446	punch
   	22447	22530	other
   	22531	22563	approach
   	22564	22581	punch
   	22582	22982	other
   	22983	23016	approach
   	23017	23046	punch
   	23047	23085	chasing
   	23086	23235	other
   	23236	23248	defend
   	23249	23263	punch
   	23264	23413	other
   	23414	23423	sniff_female
   	23424	23618	other
   	23619	23623	sniff_face
   	23624	24321	other
   	24322	24360	approach
   	24361	24368	punch
   	24369	24714	other
   	24715	24763	selfgrooming
   	24764	24787	other
   	24788	24801	sniff_female
   	24802	24874	other
   	24875	24882	sniff_face
   	24883	24936	other
   	24937	24956	approach
   	24957	24963	punch
   	24964	24982	escape
   	24983	25029	other
   	25030	25091	approach
   	25092	25106	general-sniffing
   	25107	26351	other
   	26352	26397	approach
   	26398	26415	sniff_female
   	26416	26431	punch
   	26432	26460	other
   	26461	26527	follow_female
   	26528	26541	other
   	26542	26553	sniff_face
   	26554	26561	punch
   	26562	27043	other
   	27044	27059	sniff_female
   	27060	27298	other
   	27299	27323	flinch
   	27324	27344	punch
   	27345	27718	other
   	27719	27768	approach
   	27769	28093	other
   	28094	28105	punch
   	28106	28505	other
   	28506	28629	selfgrooming
   	28630	28761	other
   	28762	28823	punch
   	28824	28853	other
   	28854	28890	punch
   	28891	30279	other
   	30280	30289	punch
   	30290	30305	escape
   	30306	30625	other
   	30626	30637	punch
   	30638	30673	other
   	30674	30795	approach
   	30796	30808	general-sniffing
   	30809	31811	other
   	31812	31819	punch
   	31820	31926	other
   	31927	31943	sniff_female
   	31944	31975	other
   	31976	31981	sniff_female
   	31982	32529	other
   	32530	32543	punch
   	32544	32629	other
   	32630	32683	sniff_female
   	32684	32741	other
   	32742	32850	defend
   	32851	33108	other
   	33109	33152	follow_female
   	33153	33179	sniff_female
   	33180	33268	other
   	33269	33296	sniff_female
   	33297	33315	punch
   	33316	33368	chasing
   	33369	33481	sniff_female
   	33482	33533	other
   	33534	33647	sniff_female
   	33648	34037	other
   	34038	34053	follow_female
   	34054	34066	sniff_female
   	34067	34455	other
   	34456	34468	punch
   	34469	34497	other
   	34498	34537	sniff_female
   	34538	34782	other
   	34783	35221	selfgrooming
   	35222	35268	other
  
S3:	start	end	type
-----------------------------
   	1	533	human_interfere
   	534	1277	other
   	1278	1315	escape
   	1316	1321	other
   	1322	1334	escape
   	1335	1767	other
   	1768	1790	approach
   	1791	1805	general-sniffing
   	1806	2059	other
   	2060	2062	general-sniffing
   	2063	2175	other
   	2176	2198	approach
   	2199	2204	general-sniffing
   	2205	2966	other
   	2967	2976	general-sniffing
   	2977	3104	other
   	3105	3120	approach
   	3121	3149	general-sniffing
   	3150	3320	other
   	3321	3325	general-sniffing
   	3326	3335	other
   	3336	3344	general-sniffing
   	3345	3436	other
   	3437	3469	general-sniffing
   	3470	3532	other
   	3533	3562	approach
   	3563	3600	sniff_face
   	3601	3784	other
   	3785	3789	general-sniffing
   	3790	4015	other
   	4016	4034	general-sniffing
   	4035	4146	other
   	4147	4156	sniff_face
   	4157	4302	other
   	4303	4310	general-sniffing
   	4311	4327	other
   	4328	4329	general-sniffing
   	4330	4340	other
   	4341	4346	general-sniffing
   	4347	4611	other
   	4612	4756	escape
   	4757	4839	other
   	4840	4858	approach
   	4859	4866	sniff_face
   	4867	5101	other
   	5102	5106	general-sniffing
   	5107	5120	other
   	5121	5168	general-sniffing
   	5169	5194	escape
   	5195	5296	other
   	5297	5381	escape
   	5382	5439	defend
   	5440	5494	escape
   	5495	5560	other
   	5561	5582	escape
   	5583	5595	other
   	5596	5615	approach
   	5616	5617	general-sniffing
   	5618	5991	other
   	5992	6049	escape
   	6050	6337	other
   	6338	6373	escape
   	6374	6732	other
   	6733	6748	general-sniffing
   	6749	7130	other
   	7131	7136	flinch
   	7137	7827	other
   	7828	7859	general-sniffing
   	7860	8322	other
   	8323	8327	sniff_face
   	8328	8371	other
   	8372	8381	sniff_face
   	8382	8624	other
   	8625	8681	approach
   	8682	8690	general-sniffing
   	8691	9130	other
