Caltech Behavior Annotator - Annotation File

Configuration file:
other o
attack a
approach b
chasing c
dig d
escape e
general-sniffing f
sniff_genital p
sniff_face w
selfgrooming g
socialgrooming h
defend i
exploreobj j
climb k
follow l
mount m
biteobj n
flinch r
stand s
punch t
threaten u
interaction v
human_interfere x
tussling y

S1: start    end     type
    2775    2821    other
    2822    2864    stand
    2865    3008    other
    3009    3073    dig
    3074    3096    other
    3097    3115    dig
    3116    3135    other
    3136    3158    dig
    3159    3182    other
    3183    3207    approach
    3208    3222    other
    3223    3248    dig
    3249    3251    other
    3252    3319    approach
    3320    3325    general-sniffing
    3326    3360    other
    3361    3442    dig
    3443    3457    stand
    3458    3468    other
    3469    3523    dig
    3524    3637    other
    3638    3723    dig
    3724    3828    other
    3829    3884    dig
    3885    3896    defend
    3897    3911    sniff_face
    3912    3948    stand
    3949    4069    other
    4070    4082    approach
    4083    4085    general-sniffing
    4086    4094    other
    4095    4128    stand
    4129    4132    sniff_face
    4133    4141    flinch
    4142    4153    selfgrooming
    4154    4460    other
    4461    4498    climb
    4499    4505    sniff_face
    4506    4522    other
    4523    4555    climb
    4556    4568    other
    4569    4599    climb
    4600    4617    other
    4618    4623    sniff_face
    4624    4639    other
    4640    4651    flinch
    4652    4730    other
    4731    4767    selfgrooming
    4768    4800    stand
    4801    4836    approach
    4837    4863    general-sniffing
    4864    4891    other
    4892    4958    approach
    4959    4977    defend
    4978    5032    climb
    5033    5056    defend
    5057    5093    other
    5094    5107    escape
    5108    5110    other
    5111    5114    sniff_face
    5115    5132    escape
    5133    5232    other
    5233    5247    selfgrooming
    5248    5260    other
    5261    5353    dig
    5354    5363    other
    5364    5381    dig
    5382    5420    other
    5421    5463    dig
    5464    5551    other
    5552    5638    dig
    5639    5651    other
    5652    5678    climb
    5679    5691    other
    5692    5774    dig
    5775    5789    other
    5790    5812    selfgrooming
    5813    5816    other
    5817    5834    dig
    5835    5848    other
    5849    5901    approach
    5902    5907    general-sniffing
    5908    5916    other
    5917    5993    climb
    5994    6018    other
    6019    6035    climb
    6036    6096    other
    6097    6102    defend
    6103    6126    escape
    6127    6148    other
    6149    6212    climb
    6213    6219    other
    6220    6231    sniff_face
    6232    6295    other
    6296    6408    dig
    6409    6423    other
    6424    6442    approach
    6443    6519    general-sniffing
    6520    6527    flinch
    6528    6649    other
    6650    6693    dig
    6694    6717    other
    6718    6791    dig
    6792    6798    other
    6799    6820    defend
    6821    6844    escape
    6845    6862    other
    6863    6894    stand
    6895    6926    other
    6927    6934    sniff_face
    6935    6942    flinch
    6943    7006    other
    7007    7047    approach
    7048    7054    other
    7055    7086    stand
    7087    7128    other
    7129    7141    approach
    7142    7171    stand
    7172    7195    other
    7196    7204    approach
    7205    7210    general-sniffing
    7211    7250    other
    7251    7281    approach
    7282    7290    flinch
    7291    7314    dig
    7315    7338    selfgrooming
    7339    7347    other
    7348    7412    dig
    7413    7490    other
    7491    7536    climb
    7537    7635    other
    7636    7662    dig
    7663    7665    sniff_face
    7666    7678    flinch
    7679    7717    other
    7718    7746    dig
    7747    7875    other
    7876    7967    stand
    7968    8183    other
    8184    8212    selfgrooming
    8213    8220    other
    8221    8244    defend
    8245    8254    escape
    8255    8322    other
    8323    8347    stand
    8348    8525    other
    8526    8550    stand
    8551    8562    other
    8563    8582    dig
    8583    8821    other
    8822    8847    approach
    8848    8867    general-sniffing
    8868    8885    other
    8886    8925    selfgrooming
    8926    8981    other
    8982    8993    sniff_face
    8994    9026    other
    9027    9036    sniff_face
    9037    9195    other
    9196    9209    sniff_face
    9210    9458    other
    9459    9496    stand
    9497    9591    other
    9592    9636    climb
    9637    9704    other
    9705    9742    escape
    9743    9776    other
    9777    9823    climb
    9824    9829    other
    9830    9843    defend
    9844   10024    other
   10025   10081    defend
   10082   10277    other
   10278   10315    stand
   10316   10331    other
   10332   10826    selfgrooming
   10827   10896    other
   10897   10950    selfgrooming
   10951   10995    stand
   10996   11039    other
   11040   11051    escape
   11052   11371    other
   11372   11374    sniff_face
   11375   11391    escape
   11392   11497    other
   11498   11504    sniff_face
   11505   11548    other
   11549   11603    defend
   11604   11609    sniff_face
   11610   11627    escape
   11628   11724    other
   11725   11755    selfgrooming
   11756   11866    other
   11867   11927    selfgrooming
   11928   12020    other
   12021   12037    stand
   12038   12175    other
   12176   12206    stand
   12207   12492    other
   12493   12600    selfgrooming
   12601   12717    other
   12718   12886    stand
   12887   12911    other
   12912   12982    stand
   12983   13200    other
   13201   13232    selfgrooming
   13233   13297    other
   13298   13324    stand
   13325   13442    other
   13443   13482    stand
   13483   13525    other
   13526   13533    sniff_face
   13534   13553    other
   13554   13583    stand
   13584   13590    flinch
   13591   13611    escape
   13612   13614    other
   13615   13643    defend
   13644   13652    flinch
   13653   13703    defend
   13704   13738    other
   13739   13773    selfgrooming
   13774   13971    other
   13972   14029    stand
   14030   14121    other
   14122   14137    defend
   14138   14145    flinch
   14146   14215    other
   14216   14249    defend
   14250   14260    flinch
   14261   14736    other
   14737   14750    sniff_face
   14751   14771    other
   14772   14787    flinch
   14788   14824    other
   14825   14834    defend
   14835   14842    flinch
   14843   15008    other
   15009   15055    dig
   15056   15102    other
   15103   15107    sniff_face
   15108   15138    other
   15139   15195    defend
   15196   15205    selfgrooming
   15206   15287    other
   15288   15337    selfgrooming
   15338   15382    other
   15383   15416    stand
   15417   15428    approach
   15429   15441    other
   15442   15467    follow
   15468   15532    other
   15533   15568    selfgrooming
   15569   15599    other
   15600   15625    stand
   15626   15671    other
   15672   15718    defend
   15719   15852    other
   15853   15864    sniff_face
   15865   15999    other
   16000   16030    dig
   16031   16040    other
   16041   16070    stand
   16071   16101    climb
   16102   16136    other
   16137   16222    stand
